name,type,durationInMin,category,venue,descriptionEvent,year
MUN Day 1,Model United Nations,510,Competitions,Conference Hall 1,"Have you ever seen politicians squabble on TV, and thought to yourself, ""I could do a much better job, if only I had this kind of power”? IITG MUN gives you the chance to see for yourself.",2024
MUN Day 2,Model United Nations,510,Competitions,Conference Hall 1,"Have you ever seen politicians squabble on TV, and thought to yourself, ""I could do a much better job, if only I had this kind of power”? IITG MUN gives you the chance to see for yourself.",2024
MUN Day 3,Model United Nations,480,Competitions,Conference Hall 1,"Have you ever seen politicians squabble on TV, and thought to yourself, ""I could do a much better job, if only I had this kind of power”? IITG MUN gives you the chance to see for yourself.",2024
Mehfil e Alcheringa,Literary,240,Competitions,Lecture Hall 1,Calling all poets! Join us for Mehfil-e-Alcheringa: Shayari Competition. Show your poetic prowess and captivate hearts with your verses. See you there!,2024
Monodrama,Stagecraft,150,Competitions,Mini Auditorium,"Calling all actors and theater enthusiasts! Join us for our Monodrama Event - where solo performances steal the spotlight. Whether you're performing or watching, don't miss this captivating evening of storytelling brilliance. See you there!",2024
Mr & Miss Alcheringa Final,Class Apart,180,Competitions,Auditorium,"One of the most anticipated events of the year, brings you one of its own kind personality competition. Are you up for the challenge? Alcheringa awaits to accolade its next Mr Alcheringa and Ms Alcheringa...!!",2024
Mr & Ms Alcheringa Prelims,Class Apart,480,Competitions,Lecture Hall 3,"One of the most anticipated events of the year, brings you one of its own kind personality competition. Are you up for the challenge? Alcheringa awaits to accolade its next Mr Alcheringa and Ms Alcheringa...!!",2024
Navras Prelims,Any Body Can Dance,240,Competitions,Mini Auditorium,"This is what takes us to our roots. Alcheringa strives to give Indian classical dancers a bigger and a better stage with each upcoming edition. Prepare yourselves to witness some of the most intricate rhythms, footwork and spins to have graced this planet!",2024
Navras Finals,Any Body Can Dance,90,Competitions,Mini Auditorium,"This is what takes us to our roots. Alcheringa strives to give Indian classical dancers a bigger and a better stage with each upcoming edition. Prepare yourselves to witness some of the most intricate rhythms, footwork and spins to have graced this planet!",2024
Parliamentary Debate Day 1,Literary,600,Competitions,Core 1,"Do you feel the urge to speak up at every issue, do a logic check at every fact, present it with your own reasoning and stand for it till the end…? Wait no more, Alcheringa gives you an opportunity to let you speak your words.",2024
Parliamentary Debate Day 2,Literary,600,Competitions,Core 1,"Do you feel the urge to speak up at every issue, do a logic check at every fact, present it with your own reasoning and stand for it till the end…? Wait no more, Alcheringa gives you an opportunity to let you speak your words.",2024
Parliamentary Debate Day 3 ,Literary,600,Competitions,Core 1,"Do you feel the urge to speak up at every issue, do a logic check at every fact, present it with your own reasoning and stand for it till the end...? Wait no more, Alcheringa gives you an opportunity to let speak your words.",2024
Poetry Slam (English),Literary,360,Competitions,Lecture Hall 1,"Prepare to be moved and inspired as poets take the stage to share their soul-stirring verses at the Poetry Slam! With each word, they paint pictures, evoke emotions, and ignite imaginations, all in the pursuit of poetic excellence.",2024
Poetry Slam (Hindi+Assamese),Literary,270,Competitions,Lecture Hall 1,"Prepare to be moved and inspired as poets take the stage to share their soul-stirring verses at the Poetry Slam! With each word, they paint pictures, evoke emotions, and ignite imaginations, all in the pursuit of poetic excellence.",2024
RAP BATTLE Finals,Class Apart,120,Competitions,Old Sac Wall,"Get ready to ignite the stage with fiery rhymes, as we bring you the ultimate Alcheringa Rap Battle! Grab the mic and show the crowd your lyrical prowess, as you face off against other talented MCs in a battle for supremacy. With beats that'll make your heart race and rhymes that'll leave the audience in awe, this is an event you don't want to miss. So, grab your friends, bring your A-game, and get ready to show the world what you're made of. It's time to put your skills to the test, in the hottest rap battle of Alcheringa!",2024
RAP BATTLE PRELIMS,Class Apart,210,Competitions,Old Sac Wall,"Get ready to ignite the stage with fiery rhymes, as we bring you the ultimate Alcheringa Rap Battle! Grab the mic and show the crowd your lyrical prowess, as you face off against other talented MCs in a battle for supremacy. With beats that'll make your heart race and rhymes that'll leave the audience in awe, this is an event you don't want to miss. So, grab your friends, bring your A-game, and get ready to show the world what you're made of. It's time to put your skills to the test, in the hottest rap battle of Alcheringa!",2024
Rangoli,Art Talkies,180,Competitions,Library Shed,"Immerse yourself in the vibrant world of colors at the Rangoli Making Competition during Alcheringa! From intricate patterns to mesmerizing designs, witness the beauty unfold as participants bring their creativity to life using colorful powders and grains.",2024
Rock-O-Phonix Day 1,Class Apart,600,Competitions,Rocko Stage,"As the Shredding of the guitars and the beating of the drums picks up steam, heads bang along to the music. A highlight of the festival and an emblem of the talent suffused in the many faces in the crowd, this is one event to hold your breath for Rock-O-Phonix, the holy grail of rock! The winner takes all...!",2024
Rock-o-Phonix Day 2,Class Apart,480,Competitions,Rocko Stage,"As the Shredding of the guitars and the beating of the drums picks up steam, heads bang along to the music. A highlight of the festival and an emblem of the talent suffused in the many faces in the crowd, this is one event to hold your breath for Rock-O-Phonix, the holy grail of rock! The winner takes all...!",2024
Rock-o-Phonix Day 3,Class Apart,390,Competitions,Rocko Stage,"As the Shredding of the guitars and the beating of the drums picks up  steam, heads bang along to the music. A highlight of the festival and an emblem of the talent suffused in the many faces in the crowd, this is one event to hold your breath for Rock-O-Phonix, the holy grail of rock! The winner takes all...!",2024
SUTUCD Finals,Any Body Can Dance,90,Competitions,Mini Auditorium,"Get ready to unleash your passion for dance at the SUTUCD Non-Classical Solo Dance Competition! Channeling the spirit of freedom and expression, dancers will vie for the spotlight and the title of champion. Embrace the rhythm, let go of inhibitions, and dance like never before.",2024
SUTUCD Prelims,Any Body Can Dance,300,Competitions,Mini Auditorium,"Get ready to unleash your passion for dance at the SUTUCD Non-Classical Solo Dance Competition! Channeling the spirit of freedom and expression, dancers will vie for the spotlight and the title of champion. Embrace the rhythm, let go of inhibitions, and dance like never before.",2024
Saaz,Pronites,180,Events,Auditorium,"Alcheringa'24 is elated to announce our ensemble of musicians for Saaz, the Classical Night, on Day featuring Pt. Ranendra Majumdar, Mehtab Ali Niazi, Shikhar Naad Qureshi, Danish Ali Khan and Manohar Balatchandirane .   Pt. Ranendra Majumdar stands as a beacon of excellence in the world of Indian classical music, particularly renowned for his mastery of the Bansuri. Trained under gurus including Pt. Ravi Shankar, he epitomizes the Maihar gharana tradition.  Mehtab Ali Niazi, embodies a legacy of musical excellence. Under the tutelage of his father, Sitar maestro Ustad Mohsin Ali Khan, Mehtab commenced his musical journey at the age of four and is revered as one of India's finest Sitar virtuosos.  Shikhar Naad Qureshi, a prodigy of percussion mastery, inherits a legacy of brilliance from his father Taufiq Qureshi, grandfather Ustad Allarakha, and uncle Ustad Zakir Hussain. As a drummer, percussionist, and music producer, he bridges diverse musical traditions.  Danish Ali Khan's mastery of the violin reflects a combination of Gayaki Anga and Tantrakari expertise. Danish's talent has graced prestigious platforms, such as Darpan Music Festival and Swar Naman.  Manohar Balatchandirane stands as a beacon of excellence in the realm of Mridangam artistry. His understanding of both Hindustani and Carnatic traditions is evident in his jugalbandhis.",2024
Sports Quiz,Quiz,180,Competitions,Lecture Hall 2,"Attention all sports enthusiasts and trivia buffs! It's time to put your knowledge to the test at the Sports Quiz Competition during Alcheringa! Join us for an exhilarating journey through the world of sports, where participants compete in a battle of wits and expertise.",2024
States of Dress,Vogue Nation,210,Competitions,Library Shed, Design the best outfit for your friend using trash. Use your origami and fashion skills to make the perfect dress!,2024
Step Up,Any Body Can Dance,240,Competitions,Old Sac Wall,"Why fight when you can dance? Introducing the most exhilarating, vigorous and effervescent face-off you can imagine! The mean and tough streets are unforgiving. Bring out your game face and show us what you got! Presenting Step Up, Dance face-off!",2024
Theatrix Finals,Stagecraft,240,Competitions,Auditorium,"The plethora of expressions, diversity of unimaginable characters, red of the blood all to impress you! Actors from the region will enliven the stage and perform their hearts out to stand victorious in this tough clash of theatre-acting. Welcome to the Stage play competition!",2024
Theatrix Prelims,Stagecraft,270,Competitions,Auditorium,"The plethora of expressions, diversity of unimaginable characters, red of the blood all to impress you! Actors from the region will enliven the stage and perform their hearts out to stand victorious in this tough clash of theatre-acting. Welcome to the Stage play competition!",2024
Trapperx,Pronites,240,Events,Pronite Stage,"Finally for the final night of Alcheringa 2024, we have none other @trapperxofficial performing today at Day 3 of Blitzkrieg!  Trapperx is a world renowned Jaipur, India based Music Producer, DJ and Audio Engineer. He has even gotten featured on New York Time Square Billboard for his latest single ""Back to Bombay"". He's been part of 2 platinum hit records and is working with some of the mainstream artists globally.  Get ready to get lost in the music and have an experience of a lifetime!",2024
Unplugged Finals,Music,240,Competitions,Expo Stage,"Experience the magic of unplugged music at the Acoustic Band Competition during Alcheringa! Feel the raw energy as talented musicians take the stage without the need for electrical amplification. With a diverse array of instruments and compulsory vocals, each performance promises a unique and soul-stirring experience.",2024
Unplugged Prelims,Music,360,Competitions,Expo Stage,"Experience the magic of unplugged music at the Acoustic Band Competition during Alcheringa! Feel the raw energy as talented musicians take the stage without the need for electrical amplification. With a diverse array of instruments and compulsory vocals, each performance promises a unique and soul-stirring experience.",2024
Urban Breeze,Proshows,60,Events,Rocko Stage,"Embark on a musical journey with Urban Breeze, the Hindi Alternative/Pop rock marvel from Assam, Northeast India, at Alcheringa ! Drawing inspiration from legends like Porcupine Tree, Linkin Park, Radiohead, Coldplay, John Mayer, Eric Clapton, and Alter Bridge, their wide-ranging taste reflects in every note. Join us for an evening of diverse tunes as Urban Breeze adds a symphony of magic to Alcheringa.",2024
Voice of Alcher Finals,Music,120,Competitions,Lecture Hall 2,This event is for the lone wolves unafraid to showcase their unique voices. We call out to all the nightingales to soar high this Alcheringa. May the most melodious master prevail!,2024
Voice of Alcher Prelims,Music,390,Competitions,Lecture Hall 2,This event is for the lone wolves unafraid to showcase their unique voices. We call out to all the nightingales to soar high this Alcheringa. May the most melodious master prevail!,2024
Void,Proshows,60,Events,Rocko Stage,"Prepare for an epic auditory journey at the Alcheringa !  Catch the incredible performance by VOID, a seasoned wordsmith who conquered the stage as one of the top contestant in Hustle Season 1!  Get ready to be immersed in a blend of raw talent, rhythmic flow, and lyrical prowess. Don't miss this chance to witness the fusion of skill and passion that defines VOID's captivating presence on stage.",2024
Who is it,Art Talkies,180,Competitions,Library Shed,"Unleash your artistic talent in the Sketch Portrait event at Alcheringa! Using provided charcoal and sketching pencils, participants create portraits of famous personalities on A4 drawing sheets. It's a solo challenge with a 3-hour time limit. Feel the inspiration from everywhere as you bring your subject to life on paper.",2024
Women's Panel,Creators' Camp,60,Events,Auditorium,We're incredibly excited to welcome the renowned actress Lata Saberwal as our esteemed guest for the Women's Panelist in Creator's Camp at IIT Guwahati! 🎉 Lata Saberwal is an Indian actress known for her work primarily in Hindi television serials and films. She has appeared in several popular TV shows and movies.,2024
